,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
1196982,132,CASH_IN,238590.68,C1138225448,8512937.37,8751528.05,C6200517,2524185.96,2285595.28,0
1317056,136,CASH_IN,149121.36,C1447481138,6298.0,155419.36,C1832817436,59153.5,0.0,0
2664707,210,PAYMENT,9817.0,C931231661,14467.0,4650.0,M115920372,0.0,0.0,0
5987360,408,PAYMENT,7482.79,C666214534,1494.0,0.0,M1287038673,0.0,0.0,0
1553332,154,CASH_OUT,72301.96,C296363037,64375.52,0.0,C319823380,476101.11,759257.39,0
1511333,149,CASH_OUT,3567795.25,C2091267163,3567795.25,0.0,C1391718831,0.0,3567795.25,1
4684524,331,TRANSFER,420330.71,C1868228472,420330.71,0.0,C1690604100,0.0,0.0,1
2801087,218,TRANSFER,145379.14,C460813809,145379.14,0.0,C1079863947,0.0,0.0,1
4402252,321,PAYMENT,20515.28,C1892158611,56492.0,35976.72,M1235657113,0.0,0.0,0
6065311,512,CASH_OUT,430207.22,C1698844307,430207.22,0.0,C1470257177,148478.49,578685.71,1
3362631,254,PAYMENT,19336.75,C1292908394,10637.66,0.0,M939243925,0.0,0.0,0
914167,43,PAYMENT,18302.24,C1539788836,0.0,0.0,M482938591,0.0,0.0,0
1616836,156,CASH_OUT,86848.88,C1897080488,86848.88,0.0,C605981144,489635.85,576484.72,1
6168713,560,TRANSFER,730677.5,C1166383807,730677.5,0.0,C522357806,0.0,0.0,1
1059510,100,TRANSFER,54994.1,C126342805,54994.1,0.0,C169029118,0.0,0.0,1
4730221,332,CASH_IN,293080.86,C452177096,2435942.95,2729023.81,C1351362832,2482557.05,2189476.19,0
824618,41,CASH_OUT,29808.37,C315116750,51007.0,21198.63,C937827501,339898.34,369706.72,0
1958449,178,PAYMENT,6058.73,C587449393,0.0,0.0,M1465109438,0.0,0.0,0
650134,35,CASH_OUT,9465988.82,C91276418,9465988.82,0.0,C1220805115,0.0,9465988.82,1
5646968,396,CASH_OUT,70884.17,C1082947001,118575.0,47690.83,C430962676,164574.43,235458.59,0
5905567,403,CASH_OUT,250900.62,C462788974,0.0,0.0,C418150592,322595.75,573496.37,0
6020206,460,TRANSFER,440962.56,C847706686,440962.56,0.0,C719419922,0.0,0.0,1
1052728,96,CASH_OUT,368682.49,C1054790509,0.0,0.0,C145719235,869564.08,1238246.57,0
5137859,356,CASH_IN,182175.44,C861236327,3673.0,185848.44,C342350356,193180.32,11004.87,0
1510293,145,CASH_OUT,3572736.74,C1733969838,3572736.74,0.0,C1915229733,1362451.86,4935188.59,1
6113886,527,TRANSFER,1094419.89,C1749621461,1094419.89,0.0,C1910771897,0.0,0.0,1
541714,21,CASH_OUT,192501.39,C1436541768,0.0,0.0,C753084674,2206497.53,2398998.92,0
1765045,162,CASH_IN,147615.04,C176497904,50668.0,198283.04,C375351509,0.0,0.0,0
709087,37,PAYMENT,1485.38,C606014672,7671.0,6185.62,M810753687,0.0,0.0,0
4147003,303,CASH_OUT,717423.46,C610660635,21584.0,0.0,C60569842,284337.42,1001760.87,0
2976384,231,CASH_IN,137610.78,C410321548,5918704.68,6056315.46,C998229176,1358583.33,1220972.55,0
6336980,691,CASH_OUT,116636.06,C1536790025,116636.06,0.0,C1430191148,0.0,116636.06,1
1030550,72,CASH_OUT,2947783.87,C1092143469,2947783.87,0.0,C528593406,353246.54,3301030.4,1
6351069,697,TRANSFER,378623.9,C1584281400,378623.9,0.0,C62581304,0.0,0.0,1
173769,12,PAYMENT,1650.37,C831640034,0.0,0.0,M881454002,0.0,0.0,0
5980079,408,CASH_OUT,2567602.1,C1656748822,2567602.1,0.0,C1457063167,0.0,2567602.1,1
2,1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1
610270,34,TRANSFER,428239.03,C711340026,428239.03,0.0,C674486348,0.0,0.0,1
2472781,204,PAYMENT,11993.36,C43161393,0.0,0.0,M406298110,0.0,0.0,0
2250316,187,CASH_OUT,2044841.02,C1943035260,2044841.02,0.0,C1552135476,397169.1,2442010.12,1
5032302,354,CASH_IN,247698.31,C1925079825,2190189.69,2437888.0,C1289829564,804236.97,556538.66,0
5312712,373,PAYMENT,14008.3,C283767897,0.0,0.0,M589312704,0.0,0.0,0
2059281,181,CASH_OUT,186419.05,C1117269806,106995.0,0.0,C1650817309,121241.68,539560.14,0
6262270,611,CASH_OUT,40873.25,C1783886401,40873.25,0.0,C2011653330,905220.62,946093.88,1
5963993,406,PAYMENT,5769.54,C1002496022,120.0,0.0,M1326062719,0.0,0.0,0
6118260,533,TRANSFER,878034.02,C2050862672,878034.02,0.0,C905665675,0.0,0.0,1
3594477,262,CASH_OUT,340936.99,C56193098,340936.99,0.0,C119224307,777058.51,1117995.5,1
3357631,254,CASH_OUT,2037.61,C758533012,0.0,0.0,C714628120,831988.51,834026.12,0
957482,44,CASH_OUT,94967.56,C2130982595,174047.0,79079.44,C1771936820,37426.64,132394.2,0
1132281,131,PAYMENT,7700.74,C1967503917,0.0,0.0,M1024939593,0.0,0.0,0
817622,40,CASH_IN,98707.97,C1475400358,6673.0,105380.97,C830436094,0.0,0.0,0
6053281,495,TRANSFER,296940.32,C136928681,296940.32,0.0,C689814483,0.0,0.0,1
1143969,131,CASH_OUT,31185.14,C13369967,0.0,0.0,C1062399115,33062.68,64247.82,0
4900286,349,CASH_IN,39383.08,C1304542409,3870029.19,3909412.28,C870160480,1686402.91,1647019.82,0
395911,18,CASH_IN,190644.64,C220573239,1120104.87,1310749.51,C3402722,226927.24,36282.6,0
2549975,206,CASH_OUT,28597.28,C11633225,149.0,0.0,C1993898616,2163406.97,2192004.26,0
6272260,621,TRANSFER,2060748.45,C1129518026,2060748.45,0.0,C1288050386,0.0,0.0,1
6278026,641,TRANSFER,2205.55,C25477587,2205.55,0.0,C234682668,0.0,0.0,1
3611012,271,CASH_OUT,1621056.88,C168076174,1621056.88,0.0,C735369165,511091.84,2132148.72,1
1030377,60,TRANSFER,40486.25,C46706219,40486.25,0.0,C1894539182,0.0,0.0,1
1342978,137,CASH_OUT,1746415.27,C608259465,1746415.27,0.0,C1307118574,532359.77,2278775.04,1
2642378,209,CASH_OUT,7044227.89,C1419603999,7044227.89,0.0,C909312047,1122506.96,8166734.85,1
4541911,326,CASH_OUT,112159.02,C376114993,0.0,0.0,C716399169,116571.32,228730.34,0
6233287,594,CASH_OUT,335071.5,C1146444663,335071.5,0.0,C1365176393,0.0,335071.5,1
6080204,520,PAYMENT,8925.11,C2011816377,0.0,0.0,M842786517,0.0,0.0,0
6284441,659,TRANSFER,1467987.57,C2035870900,1467987.57,0.0,C1336055115,0.0,0.0,1
5898764,403,CASH_OUT,177380.68,C1340865119,0.0,0.0,C1060042327,1071539.27,1248919.95,0
4360579,309,CASH_OUT,58589.74,C1175863472,52512.0,0.0,C307803040,3267278.87,3325868.61,0
6261064,609,TRANSFER,564263.94,C656681397,564263.94,0.0,C1487339522,0.0,0.0,1
6213540,588,TRANSFER,2709729.22,C403920383,2709729.22,0.0,C1295775030,0.0,0.0,1
2562930,206,CASH_OUT,24547.75,C324547706,0.0,0.0,C1867896025,215516.8,240064.55,0
3618323,273,CASH_OUT,601494.61,C1113436018,601494.61,0.0,C1251576610,0.0,601494.61,1
4653073,330,PAYMENT,10499.06,C207940920,0.0,0.0,M533190407,0.0,0.0,0
2826946,226,CASH_OUT,9960382.4,C1041938819,9960382.4,0.0,C1108421533,95048.58,10055430.98,1
2351909,189,CASH_OUT,297724.74,C272748551,0.0,0.0,C1120994580,517350.5,815075.24,0
6322133,688,PAYMENT,2880.94,C1711322921,0.0,0.0,M974302015,0.0,0.0,0
2783639,214,TRANSFER,1368391.5,C1099567292,1368391.5,0.0,C219699784,0.0,0.0,1
6351211,701,TRANSFER,79581.24,C438236992,79581.24,0.0,C1490705350,0.0,0.0,1
4372946,310,TRANSFER,1334919.42,C17859234,1334919.42,0.0,C121307567,0.0,0.0,1
4969964,351,TRANSFER,1552664.33,C1431338158,1552664.33,0.0,C1230205848,0.0,0.0,1
6296634,675,CASH_OUT,43440.97,C761772957,43440.97,0.0,C2009987911,0.0,43440.97,1
3233833,250,PAYMENT,28434.23,C104911905,122302.0,93867.77,M1013629289,0.0,0.0,0
3602468,263,PAYMENT,3394.51,C898548402,520.0,0.0,M2118376959,0.0,0.0,0
3581289,261,TRANSFER,8639.93,C160052939,8639.93,0.0,C671509828,0.0,0.0,1
2911617,229,TRANSFER,38580.45,C715571167,38580.45,0.0,C650699445,0.0,0.0,1
6296621,674,CASH_OUT,3288377.47,C1509113687,3288377.47,0.0,C579531437,158090.12,3446467.59,1
4571515,327,CASH_IN,70878.24,C802816740,21764.0,92642.24,C1944617014,1511439.7,1440561.46,0
499609,20,TRANSFER,16614.82,C2080146129,16614.82,0.0,C748889213,0.0,0.0,1
2903819,228,CASH_IN,68028.01,C1590608060,8599844.35,8667872.35,C1180540110,1118301.44,1050273.43,0
6295928,670,CASH_OUT,1001446.44,C1868561547,1001446.44,0.0,C597212846,0.0,1001446.44,1
6222284,590,TRANSFER,116415.76,C1579201039,0.0,0.0,C1535879876,2060838.97,2177254.73,0
1069509,121,CASH_OUT,83880.22,C539726847,0.0,0.0,C1600486220,114486.3,198366.52,0
1331375,137,PAYMENT,11655.49,C842183144,0.0,0.0,M154140558,0.0,0.0,0
3076399,235,PAYMENT,6811.18,C895341915,175255.16,168443.98,M1652406586,0.0,0.0,0
3668999,276,TRANSFER,124696.98,C1384810347,124696.98,0.0,C1897996177,0.0,0.0,1
3144664,236,CASH_OUT,253677.78,C678294514,120810.3,0.0,C1797970975,534492.83,788170.61,0
6046089,492,CASH_OUT,1059682.92,C1400717591,1059682.92,0.0,C231455368,102876.2,1162559.12,1
1059973,119,CASH_OUT,2040209.74,C248036406,2040209.74,0.0,C646526180,11240377.72,13280587.46,1
733465,37,CASH_OUT,254228.84,C1467714248,0.0,0.0,C580797036,409893.09,664121.93,0
503277,20,PAYMENT,16086.68,C1822944502,273430.19,257343.51,M557753743,0.0,0.0,0
1487288,142,PAYMENT,10587.82,C1170465692,5493.0,0.0,M1238023829,0.0,0.0,0
4830714,347,PAYMENT,27436.99,C1658282925,165157.08,137720.09,M822483859,0.0,0.0,0
6168707,560,TRANSFER,143275.81,C1645658263,143275.81,0.0,C1494621207,0.0,0.0,1
4693802,331,CASH_OUT,57307.36,C1419721540,0.0,0.0,C587652180,263441.16,320748.52,0
220584,14,CASH_IN,8190.3,C1720134521,8952519.68,8960709.98,C793116596,1899907.7,1891717.4,0
1030363,59,TRANSFER,192765.49,C267452646,192765.49,0.0,C243306413,0.0,0.0,1
5479916,379,CASH_IN,22612.41,C711123244,22494.0,45106.41,C1613072126,1292011.06,1269398.65,0
4076731,301,PAYMENT,1061.57,C814487934,21547.49,20485.92,M926759078,0.0,0.0,0
291459,15,CASH_OUT,95428.32,C947728507,0.0,0.0,C1720721903,0.0,95428.32,1
3459275,257,PAYMENT,17491.37,C1935320287,241492.62,224001.25,M818113793,0.0,0.0,0
1030591,74,TRANSFER,3284197.88,C103236252,3284197.88,0.0,C1710384366,0.0,0.0,1
6009617,441,TRANSFER,1032168.79,C2086087020,1032168.79,0.0,C1085840721,0.0,0.0,1
6237170,594,TRANSFER,389250.9,C1292366795,389250.9,0.0,C1609670189,0.0,0.0,1
4915599,349,TRANSFER,1398633.34,C1585861369,1398633.34,0.0,C154053358,0.0,0.0,1
3199996,249,CASH_OUT,90915.0,C1651029918,90915.0,0.0,C467148053,1912137.27,2003052.26,1
6106801,525,TRANSFER,203280.85,C1590627375,203280.85,0.0,C272145854,0.0,0.0,1
525850,20,TRANSFER,91751.94,C857330809,564875.97,473124.03,C1560227209,1110838.96,1202590.9,0
6055671,497,TRANSFER,918087.96,C480126375,918087.96,0.0,C1995515228,0.0,0.0,1
5434752,378,CASH_OUT,279026.18,C918502794,31751.0,0.0,C149765166,3885010.53,4164036.7,0
5159632,357,CASH_OUT,10000000.0,C1879989290,10000000.0,0.0,C1527777046,637693.12,10637693.12,1
5866718,403,CASH_IN,452522.92,C481879679,5808955.78,6261478.7,C830968966,2270601.24,1818078.32,0
615175,34,CASH_OUT,989311.12,C1177633466,989311.12,0.0,C1609979141,1009370.24,1998681.36,1
3151054,237,CASH_OUT,106681.18,C219983545,106681.18,0.0,C1298333161,0.0,106681.18,1
873468,42,CASH_IN,8159.82,C1683962368,6048004.82,6056164.64,C1691615234,632443.04,624283.23,0
6105787,525,CASH_OUT,404351.78,C1584079127,0.0,0.0,C1768806602,697816.31,1102168.09,0
1030257,50,TRANSFER,112668.54,C994276793,112668.54,0.0,C670042954,0.0,0.0,1
2514936,205,CASH_OUT,15987.81,C1919694850,9.0,0.0,C131763235,0.0,15987.81,0
6245610,596,PAYMENT,8843.19,C2904080,0.0,0.0,M339848532,0.0,0.0,0
941414,43,TRANSFER,21987.0,C725236553,21987.0,0.0,C417640852,0.0,0.0,1
6019715,456,CASH_OUT,13914.81,C44196449,13914.81,0.0,C477039753,1495380.79,1509295.6,1
1025518,48,TRANSFER,337974.21,C2029593206,337974.21,0.0,C1780194403,0.0,0.0,1
2604936,208,CASH_IN,1908.75,C649505467,1075432.68,1077341.44,C587688091,421061.42,419152.67,0
2801134,223,CASH_OUT,468446.77,C1527065781,468446.77,0.0,C1620993935,0.0,468446.77,1
4850872,347,PAYMENT,5866.42,C605814169,24839.0,18972.58,M396813857,0.0,0.0,0
5563776,391,CASH_OUT,4559921.56,C1705309294,4559921.56,0.0,C560881857,2781040.95,7340962.51,1
540774,21,PAYMENT,5612.28,C2118312517,10703.0,5090.72,M1305997216,0.0,0.0,0
6273187,635,CASH_OUT,1363674.48,C1928734777,1363674.48,0.0,C31164156,0.0,1363674.48,1
1456305,140,PAYMENT,16682.74,C766580103,0.0,0.0,M1999050782,0.0,0.0,0
6201209,577,TRANSFER,681525.62,C1600390479,681525.62,0.0,C909892782,0.0,0.0,1
2303801,188,CASH_IN,219064.76,C1865164765,9181398.92,9400463.68,C1276131390,846072.2,873713.41,0
5880323,403,CASH_OUT,137929.86,C765256215,0.0,0.0,C1721113163,966802.76,1104732.62,0
577215,33,CASH_OUT,220124.32,C2071601980,0.0,0.0,C724045113,2358321.65,2578445.98,0
1437910,140,PAYMENT,10197.98,C1125215999,50734.0,40536.02,M1715289092,0.0,0.0,0
3520526,259,CASH_OUT,235415.86,C1790927518,7067.0,0.0,C984040197,129960.52,365376.38,0
2159518,184,PAYMENT,6541.71,C152326978,0.0,0.0,M120068576,0.0,0.0,0
4881515,348,CASH_IN,150189.48,C201068566,5262445.1,5412634.58,C1260550335,400161.19,249971.71,0
1489935,142,PAYMENT,7998.43,C213921229,0.0,0.0,M856015986,0.0,0.0,0
6292356,665,TRANSFER,290491.12,C1428518412,290491.12,0.0,C875460350,0.0,0.0,1
6168505,554,TRANSFER,1025082.07,C54370277,1025082.07,0.0,C108260141,0.0,0.0,1
5869847,403,CASH_OUT,177100.74,C1331208748,19804.0,0.0,C958165646,2016246.22,2193346.96,0
3193211,247,TRANSFER,802421.39,C1768918738,802421.39,0.0,C1846753958,0.0,0.0,1
6095384,522,CASH_IN,188202.44,C28142739,1850307.1,2038509.54,C825054815,4322889.47,4134687.03,0
5133543,356,CASH_OUT,357226.8,C2080356866,357226.8,0.0,C784361813,0.0,357226.8,1
4965687,351,PAYMENT,5900.97,C229264207,255789.0,249888.03,M1718571394,0.0,0.0,0
6201286,577,CASH_OUT,141730.2,C1282179379,141730.2,0.0,C1943218565,439133.62,580863.82,1
2863013,227,CASH_OUT,466496.48,C1813313463,0.0,0.0,C450204273,907183.1,1373679.58,0
1070137,125,CASH_OUT,99793.9,C1996420000,99793.9,0.0,C987180793,209608.93,309402.83,1
1144355,131,TRANSFER,2540410.33,C479192985,2540410.33,0.0,C1723011411,0.0,0.0,1
1030612,77,CASH_OUT,5715004.3,C1519833841,5715004.3,0.0,C1856760155,318309.23,6033313.53,1
6272949,625,CASH_OUT,249749.05,C1809515003,249749.05,0.0,C1837079929,0.0,249749.05,1
5066444,354,PAYMENT,33480.67,C92338679,0.0,0.0,M625921213,0.0,0.0,0
5995645,423,CASH_OUT,3588174.94,C1622193267,3588174.94,0.0,C1576120612,103757.04,3691931.98,1
111004,11,PAYMENT,21118.44,C1283003435,0.0,0.0,M1133781806,0.0,0.0,0
2038889,180,CASH_OUT,152936.44,C1682623451,0.0,0.0,C1835722340,242618.8,395555.23,0
3361765,254,TRANSFER,541115.02,C1521707504,541115.02,0.0,C1498366839,0.0,0.0,1
3163673,237,CASH_OUT,10000000.0,C487836667,10000000.0,0.0,C1825256816,1188309.53,11188309.53,1
6055681,498,TRANSFER,1028515.56,C905449086,1028515.56,0.0,C1254399120,0.0,0.0,1
3355987,254,CASH_IN,132918.33,C1333687525,5971527.37,6104445.7,C626348049,427218.11,294299.77,0
6268641,617,TRANSFER,1398166.84,C749892305,1398166.84,0.0,C1587152098,0.0,0.0,1
4863501,348,CASH_OUT,240054.19,C1069664946,110234.0,0.0,C1214924379,243345.69,483399.88,0
4868335,348,PAYMENT,2595.89,C192920109,6008.0,3412.11,M1243875014,0.0,0.0,0
3867689,283,PAYMENT,3074.66,C1427713615,0.0,0.0,M1915835327,0.0,0.0,0
3678046,276,CASH_IN,181743.17,C1415985001,105.0,181848.17,C2001429928,0.0,0.0,0
6283808,658,TRANSFER,8730600.58,C1419011226,8730600.58,0.0,C150488099,0.0,0.0,1
6191330,571,CASH_OUT,1065787.82,C1461596446,1065787.82,0.0,C1669818195,134877.24,1200665.06,1
6003574,428,CASH_OUT,183306.21,C1642000949,183306.21,0.0,C2070997054,0.0,183306.21,1
6006150,429,TRANSFER,837192.23,C653262851,837192.23,0.0,C690345380,0.0,0.0,1
3578082,261,CASH_IN,4664.17,C1586068046,286900.0,291564.17,C1754646689,0.0,0.0,0
4206070,305,CASH_OUT,45325.64,C259087405,251.0,0.0,C1128533103,0.0,45325.64,0
36691,9,TRANSFER,11308.0,C299933576,11308.0,0.0,C1060999444,0.0,0.0,1
5393914,377,CASH_OUT,2344540.14,C843030857,2344540.14,0.0,C130896876,0.0,2344540.14,1
919080,43,CASH_OUT,224001.93,C1515331941,199026.0,0.0,C900773234,77075.57,301077.5,0
5214210,370,PAYMENT,29506.01,C1064465010,33759.24,4253.23,M1897873213,0.0,0.0,0
2316500,188,CASH_OUT,35091.65,C1705981803,0.0,0.0,C80157172,161265.94,196357.59,0
6300733,681,TRANSFER,255835.3,C1010718095,60233.0,0.0,C1558890965,0.0,255835.3,0
6204443,585,TRANSFER,470325.08,C938594796,470325.08,0.0,C403817977,0.0,0.0,1
2797358,216,PAYMENT,65082.07,C2043441173,793922.21,728840.14,M1136446505,0.0,0.0,0
1030324,56,CASH_OUT,4243468.19,C175411270,4243468.19,0.0,C1082242132,698483.22,4941951.41,1
2361574,190,CASH_OUT,53634.79,C377662318,0.0,0.0,C2136094172,104852.56,158487.35,0
5187122,361,TRANSFER,299016.86,C1499900306,299016.86,0.0,C1983606729,0.0,0.0,1
2973445,231,TRANSFER,109250.73,C417001967,0.0,0.0,C43723911,1806617.95,1915868.67,0
5255883,371,PAYMENT,44129.98,C98404555,1134.0,0.0,M1342831909,0.0,0.0,0
1667589,158,CASH_OUT,8129.56,C545604216,0.0,0.0,C1732919400,421146.7,429276.26,0
6273145,631,CASH_OUT,341.3,C667213533,341.3,0.0,C1882416081,135440.48,135781.78,1
